Date,Time,Item Code,Quantity Sold (kilo),Unit Selling Price (RMB/kg),Sale or Return,Discount (Yes/No)
2021-04-07,16:58:06.389,102900011016701,0.268,6.0,sale,No
2021-04-07,16:59:23.699,102900005119975,0.365,14.0,sale,No
2021-04-07,17:02:26.296,102900011007464,0.222,19.8,sale,No
2021-04-07,17:02:34.531,102900005115823,0.385,6.0,sale,No
2021-04-07,17:02:47.941,102900011009444,0.217,12.0,sale,No
2021-04-07,17:02:49.455,102900005116257,0.251,6.0,sale,No
2021-04-07,17:03:36.906,102900005116233,0.317,12.0,sale,No
2021-04-07,17:03:44.984,102900011016701,0.518,6.0,sale,No
2021-04-07,17:03:59.771,102900051004294,0.291,10.0,sale,No
2021-04-07,17:04:10.546,102900005115984,0.63,7.0,sale,No
2021-04-07,17:05:38.596,102900005116257,0.401,6.0,sale,No
2021-04-07,17:05:41.984,102900011016701,0.736,6.0,sale,No
2021-04-07,17:06:48.295,102900005116714,0.281,10.0,sale,No
2021-04-07,17:08:24.555,102900005125808,0.12,31.8,sale,No
2021-04-07,17:08:25.437,102900005115823,0.318,6.0,sale,No
2021-04-07,17:08:32.593,102900005116257,0.535,6.0,sale,No
2021-04-07,17:10:02.514,102900005116530,0.2,18.0,sale,No
2021-04-07,17:10:49.500,102900011016701,0.318,6.0,sale,No
2021-04-07,17:11:11.949,102900011016701,0.201,6.0,sale,No
2021-04-07,17:12:39.984,102900005115908,0.552,6.0,sale,No
2021-04-07,17:12:56.941,102900005116899,0.351,10.0,sale,No
2021-04-07,17:13:03.703,102900005115960,2.519,2.6,sale,No
2021-04-07,17:14:05.333,102900005115762,0.501,7.0,sale,No
2021-04-07,17:14:44.521,102900005115823,0.418,6.0,sale,No
2021-04-07,17:14:56.186,102900005115960,1.899,2.6,sale,No
2021-04-07,17:14:56.370,102900051004294,0.261,10.0,sale,No
2021-04-07,17:15:17.359,102900005115779,0.401,7.0,sale,No
2021-04-07,17:15:43.761,102900005115199,0.184,21.8,sale,No
2021-04-07,17:15:59.812,102900005115984,0.673,7.0,sale,No
2021-04-07,17:16:43.218,102900005116530,0.172,18.0,sale,No
2021-04-07,17:17:22.355,102900005116899,0.241,10.0,sale,No
2021-04-07,17:18:33.343,102900005116257,0.502,6.0,sale,No
2021-04-07,17:19:49.388,102900005115908,0.636,6.0,sale,No
2021-04-07,17:20:05.023,102900005119975,0.136,14.0,sale,No
2021-04-07,17:22:06.299,102900005115762,0.573,7.0,sale,No
2021-04-07,17:24:54.498,102900011016701,0.251,6.0,sale,No
2021-04-07,17:25:50.832,102900005116837,0.175,8.0,sale,No
2021-04-07,17:25:51.188,102900005115779,0.33,7.0,sale,No
2021-04-07,17:26:13.733,102900005116257,0.518,6.0,sale,No
2021-04-07,17:26:19.095,102900005116714,0.461,10.0,sale,No
2021-04-07,17:26:20.176,102900005119944,0.267,12.0,sale,No
2021-04-07,17:27:55.993,102900005119944,0.234,12.0,sale,No
2021-04-07,17:29:45.091,102900005115908,0.552,6.0,sale,No
2021-04-07,17:30:53.455,102900005115885,0.225,12.0,sale,No
2021-04-07,17:31:13.609,102900005115823,0.468,6.0,sale,No
2021-04-07,17:31:32.764,102900005115779,0.272,7.0,sale,No
2021-04-07,17:32:26.573,102900005119944,0.242,12.0,sale,No
2021-04-07,17:32:39.871,102900005115793,0.3,14.0,sale,No
2021-04-07,17:33:04.976,102900005115779,0.373,7.0,sale,No
2021-04-07,17:35:08.045,102900011009970,0.763,5.0,sale,No
2021-04-07,17:35:10.155,102900005116790,0.544,7.0,sale,No
2021-04-07,17:35:55.307,102900005125808,0.072,31.8,sale,No
2021-04-07,17:36:30.055,102900005115786,0.384,12.0,sale,No
2021-04-07,17:36:31.131,102900011016701,0.234,6.0,sale,No
2021-04-07,17:37:20.347,102900011016701,0.184,6.0,sale,No
2021-04-07,17:37:25.358,102900005115960,1.899,2.6,sale,No
2021-04-07,17:37:25.740,102900011016701,0.301,6.0,sale,No
2021-04-07,17:37:26.312,102900005115779,0.501,7.0,sale,No
2021-04-07,17:38:37.171,102900005115984,0.559,7.0,sale,No
2021-04-07,17:38:43.046,102900005115984,0.544,7.0,sale,No
2021-04-07,17:39:30.884,102900005115779,0.301,7.0,sale,No
2021-04-07,17:43:31.108,102900005116257,0.435,6.0,sale,No
2021-04-07,17:44:05.495,102900005119975,0.286,14.0,sale,No
2021-04-07,17:45:51.473,102900005119944,0.276,12.0,sale,No
2021-04-07,17:45:51.829,102900005115779,0.186,7.0,sale,No
2021-04-07,17:45:52.005,102900005115908,0.284,6.0,sale,No
2021-04-07,17:45:52.184,102900011009970,0.602,5.0,sale,No
2021-04-07,17:47:07.796,102900005115779,0.373,7.0,sale,No
2021-04-07,17:48:27.998,102900005115762,0.745,7.0,sale,No
2021-04-07,17:50:34.868,102900005115779,0.745,7.0,sale,No
2021-04-07,17:50:35.233,102900011022030,1.0,13.9,sale,No
2021-04-07,17:50:35.392,102900005116547,0.402,5.0,sale,No
2021-04-07,17:50:55.921,102900011016701,0.87,6.0,sale,No
2021-04-07,17:50:59.609,102900005115823,0.97,6.0,sale,No
2021-04-07,17:52:27.951,102900005119098,0.328,19.8,sale,No
2021-04-07,17:52:51.250,102900005119098,0.273,19.8,sale,No
2021-04-07,17:53:50.951,102900005119944,0.292,12.0,sale,No
2021-04-07,17:54:05.109,102900005115779,0.258,7.0,sale,No
2021-04-07,17:54:05.905,102900005115762,0.401,7.0,sale,No
2021-04-07,17:54:07.811,102900005119975,0.222,14.0,sale,No
2021-04-07,17:54:15.186,102900005116547,0.422,5.0,sale,No
2021-04-07,17:54:26.076,102900005116837,0.188,8.0,sale,No
2021-04-07,17:54:58.440,102900005115984,0.802,7.0,sale,No
2021-04-07,17:56:41.593,102900005119098,0.298,19.8,sale,No
2021-04-07,17:56:49.156,102900005116837,0.401,8.0,sale,No
2021-04-07,17:57:04.608,102900005116257,0.585,6.0,sale,No
2021-04-07,17:57:18.109,102900011016701,0.184,6.0,sale,No
2021-04-07,17:58:49.234,102900005115762,0.315,7.0,sale,No
2021-04-07,17:59:23.125,102900005115960,1.628,2.6,sale,No
2021-04-07,17:59:34.437,102900005116899,0.661,10.0,sale,No
2021-04-07,18:00:31.354,102900005115823,0.502,6.0,sale,No
2021-04-07,18:01:05.375,102900005116226,0.531,10.0,sale,No
2021-04-07,18:01:12.968,102900005116530,0.223,18.0,sale,No
2021-04-07,18:01:43.291,102900011001806,1.0,5.9,sale,No
2021-04-07,18:01:43.952,102900005116837,0.188,8.0,sale,No
2021-04-07,18:01:44.780,102900005118831,1.0,5.9,sale,No
2021-04-07,18:01:44.943,102900005115960,1.822,2.6,sale,No
2021-04-07,18:03:40.109,102900005116530,0.278,18.0,sale,No
2021-04-07,18:03:48.687,102900005116790,0.831,7.0,sale,No
2021-04-07,18:03:58.406,102900005116790,0.587,7.0,sale,No
2021-04-07,18:05:00.140,102900011016701,0.217,6.0,sale,No
2021-04-07,18:05:00.328,102900005119944,0.209,12.0,sale,No
2021-04-07,18:05:00.521,102900005119944,0.2,12.0,sale,No
2021-04-07,18:05:04.004,102900005115823,0.803,6.0,sale,No
2021-04-07,18:05:04.725,102900005115793,0.243,14.0,sale,No
2021-04-07,18:05:04.915,102900011016701,0.184,6.0,sale,No
2021-04-07,18:05:05.680,102900005119944,0.234,12.0,sale,No
2021-04-07,18:05:13.390,102900011000328,0.251,8.0,sale,No
2021-04-07,18:07:04.125,102900011016701,0.401,6.0,sale,No
2021-04-07,18:07:05.295,102900005119944,0.25,12.0,sale,No
2021-04-07,18:07:18.291,102900005115779,0.129,7.0,sale,No
2021-04-07,18:07:32.074,102900005115779,0.401,7.0,sale,No
2021-04-07,18:07:32.245,102900005116899,1.082,10.0,sale,No
2021-04-07,18:08:15.171,102900005116257,0.502,6.0,sale,No
2021-04-07,18:08:49.892,102900005116226,0.521,10.0,sale,No
2021-04-07,18:08:50.444,102900005116530,0.3,18.0,sale,No
2021-04-07,18:08:51.741,102900005116790,0.616,7.0,sale,No
2021-04-07,18:09:11.093,102900005116530,0.423,18.0,sale,No
2021-04-07,18:09:24.485,102900011009970,0.522,5.0,sale,No
2021-04-07,18:09:24.859,102900005116899,0.401,10.0,sale,No
2021-04-07,18:09:25.781,102900011006689,0.361,5.0,sale,No
2021-04-07,18:09:59.484,102900011016701,0.385,6.0,sale,No
2021-04-07,18:11:07.203,102900005116257,0.301,6.0,sale,No
2021-04-07,18:12:17.656,102900005115823,0.418,6.0,sale,No
2021-04-07,18:12:33.390,102900005115960,2.016,2.6,sale,No
2021-04-07,18:12:41.108,106958851400125,1.0,3.9,sale,No
2021-04-07,18:14:27.046,102900005116714,0.932,10.0,sale,No
2021-04-07,18:15:25.092,106949711300068,1.0,2.9,sale,No
2021-04-07,18:15:29.983,102900011013274,1.0,7.9,sale,No
2021-04-07,18:15:45.717,102900005116899,0.501,10.0,sale,No
2021-04-07,18:16:57.740,102900005115908,0.301,6.0,sale,No
2021-04-07,18:16:57.924,102900005116714,0.291,10.0,sale,No
2021-04-07,18:18:36.218,102900005115984,0.301,7.0,sale,No
2021-04-07,18:18:41.518,102900005115786,0.309,12.0,sale,No
2021-04-07,18:19:35.905,102900005115762,0.301,7.0,sale,No
2021-04-07,18:20:06.285,102900011016701,0.636,6.0,sale,No
2021-04-07,18:20:09.920,102900005115960,2.016,2.6,sale,No
2021-04-07,18:20:14.905,102900005115908,0.301,6.0,sale,No
2021-04-07,18:21:16.851,102900011000328,0.15,8.0,sale,No
2021-04-07,18:22:06.531,102900005115199,0.156,21.8,sale,No
2021-04-07,18:22:30.414,102900005116714,0.351,10.0,sale,No
2021-04-07,18:24:13.941,102900005116714,0.341,10.0,sale,No
2021-04-07,18:24:14.319,102900051004294,0.311,10.0,sale,No
2021-04-07,18:24:14.893,102900005116226,0.281,10.0,sale,No
2021-04-07,18:24:21.482,102900005116257,0.385,6.0,sale,No
2021-04-07,18:24:22.510,102900011009970,0.442,5.0,sale,No
2021-04-07,18:24:45.037,102900005115779,0.272,7.0,sale,No
2021-04-07,18:24:45.227,102900005119944,0.267,12.0,sale,No
2021-04-07,18:25:19.890,102900011016701,0.268,6.0,sale,No
2021-04-07,18:25:28.953,102900005115793,0.293,14.0,sale,No
2021-04-07,18:25:45.437,102900005125815,0.238,8.0,sale,No
2021-04-07,18:25:47.171,102900005115779,0.315,7.0,sale,No
2021-04-07,18:25:49.562,102900005116714,0.341,10.0,sale,No
2021-04-07,18:26:17.187,102900005116790,0.501,7.0,sale,No
2021-04-07,18:27:09.072,102900011016701,0.518,6.0,sale,No
2021-04-07,18:27:25.937,102900005115199,0.229,21.8,sale,No
2021-04-07,18:27:39.453,102900005115908,0.301,6.0,sale,No
2021-04-07,18:27:43.812,102900005115779,0.172,7.0,sale,No
2021-04-07,18:27:44.451,102900005115779,0.444,7.0,sale,No
2021-04-07,18:27:46.768,102900005115960,2.171,2.6,sale,No
2021-04-07,18:27:50.811,102900005116899,0.531,10.0,sale,No
2021-04-07,18:28:04.592,102900005125815,0.301,8.0,sale,No
2021-04-07,18:30:05.625,102900005115779,0.201,7.0,sale,No
2021-04-07,18:31:44.186,102900011016701,0.518,6.0,sale,No
2021-04-07,18:31:49.280,102900005116233,0.284,12.0,sale,No
2021-04-07,18:32:00.405,102900005115984,0.444,7.0,sale,No
2021-04-07,18:32:18.583,102900005115823,0.351,6.0,sale,No
2021-04-07,18:32:55.184,102900005115779,0.229,7.0,sale,No
2021-04-07,18:34:06.060,102900011016701,0.518,6.0,sale,No
2021-04-07,18:34:06.582,102900005116790,0.444,7.0,sale,No
2021-04-07,18:34:22.453,102900005115199,0.234,21.8,sale,No
2021-04-07,18:35:20.018,102900005115908,0.485,6.0,sale,No
2021-04-07,18:35:46.859,102900005115793,0.515,14.0,sale,No
2021-04-07,18:36:37.078,102900011016701,0.385,6.0,sale,No
2021-04-07,18:36:39.281,102900005116899,0.521,10.0,sale,No
2021-04-07,18:36:41.250,102900005115823,0.669,6.0,sale,No
2021-04-07,18:37:05.688,102900051009220,0.242,12.0,sale,No
2021-04-07,18:37:06.059,106930274220092,1.0,4.9,sale,No
2021-04-07,18:37:17.078,102900051004294,0.11,10.0,sale,No
2021-04-07,18:39:34.866,102900051004294,0.13,10.0,sale,No
2021-04-07,18:39:35.252,102900005119944,0.317,12.0,sale,No
2021-04-07,18:40:03.601,102900005125808,0.113,31.8,sale,No
2021-04-07,18:40:03.641,106949711300068,1.0,2.9,sale,No
2021-04-07,18:40:03.752,102900011016701,0.368,6.0,sale,No
2021-04-07,18:40:05.711,102900005119975,0.129,14.0,sale,No
2021-04-07,18:41:25.748,102900005115823,0.686,6.0,sale,No
2021-04-07,18:44:23.755,102900011016701,0.268,6.0,sale,No
2021-04-07,18:49:38.050,102900005115960,1.628,2.6,sale,No
2021-04-07,18:49:38.228,102900005115908,0.937,6.0,sale,No
2021-04-07,18:49:55.869,102900005115823,0.435,6.0,sale,No
2021-04-07,18:49:57.843,102900011016701,0.368,6.0,sale,No
2021-04-07,18:52:24.015,102900005118831,1.0,5.9,sale,No
2021-04-07,18:53:01.765,102900005115984,0.473,7.0,sale,No
2021-04-07,18:53:26.328,102900005115786,0.376,12.0,sale,No
2021-04-07,18:53:36.884,102900005115823,0.535,6.0,sale,No
2021-04-07,18:53:49.620,102900005115779,0.229,7.0,sale,No
2021-04-07,18:53:49.810,102900005116233,0.142,12.0,sale,No
2021-04-07,18:54:23.859,102900005115793,0.243,14.0,sale,No
2021-04-07,18:55:00.812,102900011016701,0.301,6.0,sale,No
2021-04-07,18:55:02.484,102900005115199,0.239,21.8,sale,No
2021-04-07,18:55:16.365,102900005115779,0.358,7.0,sale,No
2021-04-07,18:56:13.843,102900011016701,0.418,6.0,sale,No
2021-04-07,18:56:52.328,102900011009970,0.623,5.0,sale,No
2021-04-07,18:57:08.703,102900005115823,0.636,6.0,sale,No
2021-04-07,18:57:39.045,102900005115779,0.186,7.0,sale,No
2021-04-07,18:57:44.578,102900005116257,0.251,6.0,sale,No
2021-04-07,18:58:01.828,102900011016701,0.385,6.0,sale,No
2021-04-07,18:59:25.656,102900011016701,0.234,6.0,sale,No
2021-04-07,19:04:09.410,102900005115779,0.315,7.0,sale,No
2021-04-07,19:04:10.271,102900005116547,0.402,5.0,sale,No
2021-04-07,19:04:10.460,102900005116714,0.892,10.0,sale,No
2021-04-07,19:05:42.530,102900005115762,0.487,7.0,sale,No
2021-04-07,19:07:54.917,102900005115823,0.585,6.0,sale,No
2021-04-07,19:09:58.489,102900011016701,0.151,6.0,sale,No
2021-04-07,19:12:35.623,102900005115984,0.416,7.0,sale,No
2021-04-07,19:13:47.795,102900005115779,0.373,7.0,sale,No
2021-04-07,19:13:53.889,102900051004294,0.251,10.0,sale,No
2021-04-07,19:26:18.239,102900005115823,0.284,6.0,sale,No
2021-04-07,19:26:18.588,102900005115779,0.315,7.0,sale,No
2021-04-07,19:27:13.875,102900005115762,0.373,7.0,sale,No
2021-04-07,19:27:43.748,102900005116714,0.421,10.0,sale,No
2021-04-07,19:28:06.625,102900005116837,0.213,8.0,sale,No
2021-04-07,19:30:49.366,102900011016701,0.368,6.0,sale,No
2021-04-07,19:33:23.076,102900005119098,0.258,19.8,sale,No
2021-04-07,19:34:24.586,102900005115823,0.084,6.0,sale,No
2021-04-07,19:34:54.441,102900005115779,0.272,7.0,sale,No
2021-04-07,19:34:54.814,102900005118831,1.0,5.9,sale,No
2021-04-07,19:35:52.437,102900011016701,0.552,6.0,sale,No
2021-04-07,19:36:03.580,102900005116790,0.487,7.0,sale,No
2021-04-07,19:36:04.126,102900011016701,0.485,6.0,sale,No
2021-04-07,19:36:35.951,102900005115199,0.211,21.8,sale,No
2021-04-07,19:36:36.191,102900005115199,0.202,21.8,sale,No
2021-04-07,19:36:56.968,102900011016701,0.368,6.0,sale,No
2021-04-07,19:38:12.889,102900005115199,0.197,21.8,sale,No
2021-04-07,19:38:14.483,102900005125808,0.101,31.8,sale,No
2021-04-07,19:43:08.969,102900005115779,0.272,7.0,sale,No
2021-04-07,19:43:09.166,102900005116714,0.311,10.0,sale,No
2021-04-07,19:50:06.247,102900005115823,0.485,6.0,sale,No
2021-04-07,19:50:32.096,102900005115793,0.258,14.0,sale,No
2021-04-07,19:53:37.703,102900005116714,0.291,10.0,sale,No
2021-04-07,19:55:37.358,102900005115908,0.585,6.0,sale,No
2021-04-07,19:55:56.467,102900005116790,0.673,7.0,sale,No
2021-04-07,19:56:41.927,102900011016701,0.485,6.0,sale,No
2021-04-07,19:57:10.700,102900005116530,0.167,18.0,sale,No
2021-04-07,19:58:09.451,102900005116530,0.228,18.0,sale,No
2021-04-07,19:58:14.781,102900011016701,0.636,6.0,sale,No
2021-04-07,19:58:51.828,102900005116714,0.311,10.0,sale,No
2021-04-07,19:59:46.061,102900005116530,0.195,18.0,sale,No
2021-04-07,19:59:48.014,102900011016701,0.351,6.0,sale,No
2021-04-07,20:00:54.233,102900005118831,1.0,5.9,sale,No
2021-04-07,20:01:41.201,102900005116837,0.326,8.0,sale,No
2021-04-07,20:01:42.873,102900005116257,0.435,6.0,sale,No
2021-04-07,20:01:46.467,102900005115199,0.229,21.8,sale,No
2021-04-07,20:02:28.821,102900005116714,0.261,10.0,sale,No
2021-04-07,20:06:23.619,102900011016701,0.92,6.0,sale,No
2021-04-07,20:08:28.659,102900005115960,1.861,2.6,sale,No
2021-04-07,20:09:54.902,102900005115960,1.861,2.6,sale,No
2021-04-07,20:10:10.123,102900005116790,0.587,7.0,sale,No
2021-04-07,20:10:20.434,102900005115960,1.938,2.6,sale,No
2021-04-07,20:16:42.950,102900005115779,0.501,7.0,sale,No
2021-04-07,20:16:58.064,102900011016701,0.251,6.0,sale,No
2021-04-07,20:19:25.613,106958851400125,1.0,3.9,sale,No
2021-04-07,20:19:25.781,102900005115823,0.351,6.0,sale,No
2021-04-07,20:20:16.811,102900005115823,1.154,6.0,sale,No
2021-04-07,20:21:49.545,102900005125808,0.094,31.8,sale,No
2021-04-07,20:22:08.701,102900005119944,0.234,12.0,sale,No
2021-04-07,20:23:06.939,102900005116714,0.341,10.0,sale,No
2021-04-07,20:24:56.671,102900005116790,0.759,7.0,sale,No
2021-04-07,20:25:02.656,102900005116226,0.15,10.0,sale,No
2021-04-07,20:25:16.281,102900005116233,0.117,12.0,sale,No
2021-04-07,20:25:19.593,102900011000328,0.238,8.0,sale,No
2021-04-07,20:28:30.046,102900005115908,0.268,6.0,sale,No
2021-04-07,20:29:00.687,102900005116226,0.301,10.0,sale,No
2021-04-07,20:30:24.201,102900005116530,0.228,18.0,sale,No
2021-04-07,20:30:55.138,102900005119098,0.65,10.0,sale,Yes
2021-04-07,20:33:49.733,102900005115960,1.55,2.6,sale,No
2021-04-07,20:35:19.748,102900005116943,0.14,25.8,sale,No
2021-04-07,20:35:23.261,102900011007464,0.258,19.8,sale,No
2021-04-07,20:36:12.530,102900005115779,0.143,7.0,sale,No
2021-04-07,20:38:01.531,102900011013274,1.0,7.9,sale,No
2021-04-07,20:38:16.748,102900005115984,0.444,7.0,sale,No
2021-04-07,20:38:35.873,102900005118831,1.0,5.9,sale,No
2021-04-07,20:39:03.775,102900011016701,0.301,6.0,sale,No
2021-04-07,20:39:04.348,102900005115779,0.158,7.0,sale,No
2021-04-07,20:39:08.404,102900005116714,0.401,10.0,sale,No
2021-04-07,20:43:09.629,102900005119098,0.31,10.0,sale,Yes
2021-04-07,20:43:09.968,102900005116714,0.391,10.0,sale,No
2021-04-07,20:43:11.436,102900005116530,0.056,18.0,sale,No
2021-04-07,20:44:24.140,102900011016701,0.284,6.0,sale,No
2021-04-07,20:45:48.811,102900005119098,0.3,10.0,sale,Yes
2021-04-07,20:46:44.274,102900005115779,0.129,7.0,sale,No
2021-04-07,20:48:14.295,102900005115960,1.861,2.6,sale,No
2021-04-07,20:48:28.031,102900011016701,0.468,6.0,sale,No
2021-04-07,20:48:35.872,102900011016701,0.217,6.0,sale,No
2021-04-07,20:50:23.085,102900011016701,0.401,6.0,sale,No
2021-04-07,20:51:28.687,102900005115779,0.129,7.0,sale,No
2021-04-07,20:51:37.728,102900005115779,0.272,7.0,sale,No
2021-04-07,20:53:30.750,102900011016701,0.552,6.0,sale,No
2021-04-07,20:54:16.873,102900005115779,0.344,7.0,sale,No
2021-04-07,20:55:40.460,102900005116790,0.559,7.0,sale,No
2021-04-07,20:55:40.646,102900005115984,0.702,7.0,sale,No
2021-04-07,20:55:59.156,102900005116943,0.047,25.8,sale,No
2021-04-07,20:57:16.763,102900011016701,0.201,6.0,sale,No
2021-04-07,20:57:17.114,102900051009220,0.55,2.0,sale,No
2021-04-07,20:58:16.031,102900011009970,0.562,5.0,sale,No
2021-04-07,20:58:56.764,102900005116714,0.411,10.0,sale,No
2021-04-07,20:59:56.656,102900011016701,0.452,6.0,sale,No
2021-04-07,21:00:01.109,102900005115823,0.569,6.0,sale,No
2021-04-07,21:02:20.515,102900011022030,1.0,13.9,sale,No
2021-04-07,21:12:35.562,102900011016701,0.284,6.0,sale,No
2021-04-07,21:16:49.647,102900051009220,0.55,2.0,sale,No
2021-04-07,21:18:43.514,102900051004294,0.16,10.0,sale,No
2021-04-07,21:18:43.704,102900005115779,0.301,7.0,sale,No
2021-04-07,21:18:44.273,102900005116530,0.083,18.0,sale,No
2021-04-07,21:19:04.546,102900005116257,0.535,6.0,sale,No
2021-04-07,21:19:57.775,102900011009444,0.501,12.0,sale,No
2021-04-07,21:20:59.476,102900011009970,0.663,5.0,sale,No
2021-04-07,21:23:49.640,102900011009970,0.422,5.0,sale,No
2021-04-07,21:24:38.977,102900051009220,0.95,2.0,sale,No
2021-04-07,21:28:15.098,102900005115823,0.552,6.0,sale,No
2021-04-07,21:35:30.818,102900005115779,0.315,7.0,sale,No
2021-04-07,21:41:34.282,106949711300068,1.0,2.9,sale,No
2021-04-08,09:10:33.030,102900005116530,0.523,18.0,sale,No
2021-04-08,09:12:26.092,102900005118817,0.315,7.0,sale,No
2021-04-08,09:12:52.795,102900005116714,0.321,10.0,sale,No
2021-04-08,09:16:18.061,102900011008164,0.769,6.0,sale,No
2021-04-08,09:18:29.361,102900005116837,0.952,10.0,sale,No
2021-04-08,09:19:18.483,102900011008164,0.268,6.0,sale,No
2021-04-08,09:20:45.842,102900005115823,0.619,6.0,sale,No
2021-04-08,09:20:59.342,102900005116257,0.301,6.0,sale,No
2021-04-08,09:23:20.844,102900011008164,0.853,6.0,sale,No
2021-04-08,09:23:53.858,102900005116257,0.385,6.0,sale,No
2021-04-08,09:25:20.858,102900011000328,0.824,5.6,sale,No
2021-04-08,09:25:24.139,102900011016701,0.502,5.6,sale,No
2021-04-08,09:25:29.983,102900011009970,0.585,6.0,sale,No
2021-04-08,09:25:31.795,102900005115823,0.652,6.0,sale,No
2021-04-08,09:25:34.405,102900005116257,0.268,6.0,sale,No
2021-04-08,09:25:55.538,102900005116714,0.281,10.0,sale,No
2021-04-08,09:27:47.295,102900005116790,0.817,7.0,sale,No
2021-04-08,09:29:18.936,102900011016701,0.376,5.6,sale,No
2021-04-08,09:29:47.826,102900005115779,0.587,7.0,sale,No
2021-04-08,09:30:24.936,102900005116899,1.102,10.0,sale,No
2021-04-08,09:30:30.142,102900005115960,1.162,2.0,sale,No
2021-04-08,09:30:30.329,102900005115984,0.616,7.0,sale,No
2021-04-08,09:30:42.264,102900005116943,0.205,25.8,sale,No
2021-04-08,09:31:23.162,102900005118824,0.215,14.0,sale,No
2021-04-08,09:32:02.021,102900005118831,1.0,5.9,sale,No
2021-04-08,09:32:02.792,102900005116257,0.719,6.0,sale,No
2021-04-08,09:32:02.960,102900011016701,0.251,5.6,sale,No
2021-04-08,09:33:40.309,102900011016701,0.394,5.6,sale,No
2021-04-08,09:35:40.345,102900011016701,0.305,5.6,sale,No
2021-04-08,09:37:38.194,102900005115762,0.401,8.0,sale,No
2021-04-08,09:38:16.083,102900005118824,0.215,14.0,sale,No
2021-04-08,09:38:25.170,102900005115960,1.111,2.0,sale,No
2021-04-08,09:38:32.436,102900011016701,0.663,5.6,sale,No
2021-04-08,09:39:40.228,102900005116714,0.441,10.0,sale,No
2021-04-08,09:41:57.998,102900005116530,0.189,18.0,sale,No
2021-04-08,09:42:56.576,102900011016701,0.448,5.6,sale,No
2021-04-08,09:43:38.280,102900005115960,1.869,2.0,sale,No
2021-04-08,09:43:42.983,102900005116257,0.502,6.0,sale,No
2021-04-08,09:45:43.233,102900005115960,0.909,2.0,sale,No
2021-04-08,09:45:46.655,102900011002414,0.325,16.0,sale,No
2021-04-08,09:45:50.701,102900011009970,0.385,6.0,sale,No
2021-04-08,09:46:41.463,102900005115984,0.53,7.0,sale,No
2021-04-08,09:48:52.670,102900011016701,0.215,5.6,sale,No
2021-04-08,09:48:53.049,106930274220092,1.0,4.9,sale,No
2021-04-08,09:48:53.215,102900005116530,0.122,18.0,sale,No
2021-04-08,09:49:07.764,102900005115762,0.501,8.0,sale,No
2021-04-08,09:49:30.795,102900005115908,0.272,7.0,sale,No
